,,,,,,,,,,
,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard,Year,,https://www.espncricinfo.com/
,Australia,Pakistan,Pakistan,10 runs,Leeds,23-May-99,ODI # 1458,1999,,
,England,South Africa,South Africa,122 runs,The Oval,22-May-99,ODI # 1455,1999,,
,Sri Lanka,Zimbabwe,Sri Lanka,4 wickets,Worcester,22-May-99,ODI # 1456,1999,,
,Bangladesh,West Indies,West Indies,7 wickets,Dublin,21-May-99,ODI # 1454,1999,,
,Australia,New Zealand,New Zealand,5 wickets,Cardiff,20-May-99,ODI # 1452,1999,,
,Pakistan,Scotland,Pakistan,94 runs,Chester-le-Street,20-May-99,ODI # 1453,1999,,
,India,Zimbabwe,Zimbabwe,3 runs,Leicester,19-May-99,ODI # 1450,1999,,
,South Africa,Sri Lanka,South Africa,89 runs,Northampton,19-May-99,ODI # 1451,1999,,
,England,Kenya,England,9 wickets,Canterbury,18-May-99,ODI # 1449,1999,,
,Bangladesh,New Zealand,New Zealand,6 wickets,Chelmsford,17-May-99,ODI # 1448,1999,,
,Australia,Scotland,Australia,6 wickets,Worcester,16-May-99,ODI # 1446,1999,,
,Pakistan,West Indies,Pakistan,27 runs,Bristol,16-May-99,ODI # 1447,1999,,
,India,South Africa,South Africa,4 wickets,Hove,15-May-99,ODI # 1444,1999,,
,Kenya,Zimbabwe,Zimbabwe,5 wickets,Taunton,15-May-99,ODI # 1445,1999,,
,England,Sri Lanka,England,8 wickets,Lord's,14-May-99,ODI # 1443,1999,,
,Australia,India,Australia,125 runs,Johannesburg,23-Mar-03,ODI # 1993,2003,,
,India,Kenya,India,91 runs,Durban,20-Mar-03,ODI # 1992,2003,,
,Australia,Sri Lanka,Australia,48 runs,Gqeberha,18-Mar-03,ODI # 1991,2003,,
,Australia,Kenya,Australia,5 wickets,Durban,15-Mar-03,ODI # 1990,2003,,
,Sri Lanka,Zimbabwe,Sri Lanka,74 runs,East London,15-Mar-03,ODI # 1989,2003,,
,India,New Zealand,India,7 wickets,Centurion,14-Mar-03,ODI # 1988,2003,,
,Kenya,Zimbabwe,Kenya,7 wickets,Bloemfontein,12-Mar-03,ODI # 1987,2003,,
,Australia,New Zealand,Australia,96 runs,Gqeberha,11-Mar-03,ODI # 1986,2003,,
,India,Sri Lanka,India,183 runs,Johannesburg,10-Mar-03,ODI # 1985,2003,,
,New Zealand,Zimbabwe,New Zealand,6 wickets,Bloemfontein,8-Mar-03,ODI # 1984,2003,,
,India,Kenya,India,6 wickets,Cape Town,7-Mar-03,ODI # 1983,2003,,
,Australia,Sri Lanka,Australia,96 runs,Centurion,7-Mar-03,ODI # 1982,2003,,
,Kenya,West Indies,West Indies,142 runs,Kimberley,4-Mar-03,ODI # 1981,2003,,
,Zimbabwe,Pakistan,no result,-,Bulawayo,4-Mar-03,ODI # 1980,2003,,
,South Africa,Sri Lanka,tied,-,Durban,3-Mar-03,ODI # 1979,2003,,
,Canada,New Zealand,New Zealand,5 wickets,Benoni,3-Mar-03,ODI # 1977,2003,,
,Namibia,Netherlands,Netherlands,64 runs,Bloemfontein,3-Mar-03,ODI # 1978,2003,,
,Australia,England,Australia,2 wickets,Gqeberha,2-Mar-03,ODI # 1976,2003,,
,Bangladesh,Kenya,Kenya,32 runs,Johannesburg,1-Mar-03,ODI # 1974,2003,,
,India,Pakistan,India,6 wickets,Centurion,1-Mar-03,ODI # 1975,2003,,
,Sri Lanka,West Indies,Sri Lanka,6 runs,Cape Town,28-Feb-03,ODI # 1973,2003,,
,Zimbabwe,Netherlands,Zimbabwe,99 runs,Bulawayo,28-Feb-03,ODI # 1972,2003,,
,Australia,Namibia,Australia,256 runs,Potchefstroom,27-Feb-03,ODI # 1970,2003,,
,South Africa,Canada,South Africa,118 runs,East London,27-Feb-03,ODI # 1971,2003,,
,England,India,India,82 runs,Durban,26-Feb-03,ODI # 1969,2003,,
,Bangladesh,New Zealand,New Zealand,7 wickets,Kimberley,26-Feb-03,ODI # 1968,2003,,
,Netherlands,Pakistan,Pakistan,97 runs,Paarl,25-Feb-03,ODI # 1967,2003,,
,Zimbabwe,Australia,Australia,7 wickets,Bulawayo,24-Feb-03,ODI # 1966,2003,,
,Kenya,Sri Lanka,Kenya,53 runs,Nairobi (Gym),24-Feb-03,ODI # 1965,2003,,
,Canada,West Indies,West Indies,7 wickets,Centurion,23-Feb-03,ODI # 1963,2003,,
,India,Namibia,India,181 runs,Pietermaritzburg,23-Feb-03,ODI # 1964,2003,,
,England,Pakistan,England,112 runs,Cape Town,22-Feb-03,ODI # 1962,2003,,
,South Africa,Bangladesh,South Africa,10 wickets,Bloemfontein,22-Feb-03,ODI # 1961,2003,,
,Australia,Netherlands,Australia,75 runs,Potchefstroom,20-Feb-03,ODI # 1960,2003,,
,Canada,Sri Lanka,Sri Lanka,9 wickets,Paarl,19-Feb-03,ODI # 1958,2003,,
,England,Namibia,England,55 runs,Gqeberha,19-Feb-03,ODI # 1959,2003,,
,Zimbabwe,India,India,83 runs,Harare,19-Feb-03,ODI # 1957,2003,,
,Bangladesh,West Indies,no result,-,Benoni,18-Feb-03,ODI # 1956,2003,,
,England,Netherlands,England,6 wickets,East London,16-Feb-03,ODI # 1953,2003,,
,Namibia,Pakistan,Pakistan,171 runs,Kimberley,16-Feb-03,ODI # 1954,2003,,
,South Africa,New Zealand,New Zealand,9 wickets,Johannesburg,16-Feb-03,ODI # 1955,2003,,
,Canada,Kenya,Kenya,4 wickets,Cape Town,15-Feb-03,ODI # 1952,2003,,
,Australia,India,Australia,9 wickets,Centurion,15-Feb-03,ODI # 1951,2003,,
,Bangladesh,Sri Lanka,Sri Lanka,10 wickets,Pietermaritzburg,14-Feb-03,ODI # 1950,2003,,
,New Zealand,West Indies,New Zealand,20 runs,Gqeberha,13-Feb-03,ODI # 1949,2003,,
,South Africa,Kenya,South Africa,10 wickets,Potchefstroom,12-Feb-03,ODI # 1947,2003,,
,India,Netherlands,India,68 runs,Paarl,12-Feb-03,ODI # 1948,2003,,
,Bangladesh,Canada,Canada,60 runs,Durban,11-Feb-03,ODI # 1946,2003,,
,Australia,Pakistan,Australia,82 runs,Johannesburg,11-Feb-03,ODI # 1945,2003,,
,New Zealand,Sri Lanka,Sri Lanka,47 runs,Bloemfontein,10-Feb-03,ODI # 1944,2003,,
,Zimbabwe,Namibia,Zimbabwe,86 runs,Harare,10-Feb-03,ODI # 1943,2003,,
,South Africa,West Indies,West Indies,3 runs,Cape Town,9-Feb-03,ODI # 1942,2003,,
,Australia,Sri Lanka,Australia,53 runs,Bridgetown,28-Apr-07,ODI # 2581,2007,,
,Australia,South Africa,Australia,7 wickets,Gros Islet,25-Apr-07,ODI # 2580,2007,,
,New Zealand,Sri Lanka,Sri Lanka,81 runs,Kingston,24-Apr-07,ODI # 2579,2007,,
,West Indies,England,England,1 wicket,Bridgetown,21-Apr-07,ODI # 2578,2007,,
,Australia,New Zealand,Australia,215 runs,St George's,20-Apr-07,ODI # 2577,2007,,
,West Indies,Bangladesh,West Indies,99 runs,Bridgetown,19-Apr-07,ODI # 2576,2007,,
,Ireland,Sri Lanka,Sri Lanka,8 wickets,St George's,18-Apr-07,ODI # 2575,2007,,
,England,South Africa,South Africa,9 wickets,Bridgetown,17-Apr-07,ODI # 2574,2007,,
,Australia,Sri Lanka,Australia,7 wickets,St George's,16-Apr-07,ODI # 2573,2007,,
,Bangladesh,Ireland,Ireland,74 runs,Bridgetown,15-Apr-07,ODI # 2572,2007,,
,New Zealand,South Africa,New Zealand,5 wickets,St George's,14-Apr-07,ODI # 2571,2007,,
,Australia,Ireland,Australia,9 wickets,Bridgetown,13-Apr-07,ODI # 2570,2007,,
,New Zealand,Sri Lanka,Sri Lanka,6 wickets,St George's,12-Apr-07,ODI # 2569,2007,,
,Bangladesh,England,England,4 wickets,Bridgetown,11-Apr-07,ODI # 2568,2007,,
,West Indies,South Africa,South Africa,67 runs,St George's,10-Apr-07,ODI # 2567,2007,,
,Ireland,New Zealand,New Zealand,129 runs,Providence,9-Apr-07,ODI # 2566,2007,,
,Australia,England,Australia,7 wickets,North Sound,8-Apr-07,ODI # 2565,2007,,
,Bangladesh,South Africa,Bangladesh,67 runs,Providence,7-Apr-07,ODI # 2564,2007,,
,England,Sri Lanka,Sri Lanka,2 runs,North Sound,4-Apr-07,ODI # 2563,2007,,
,Ireland,South Africa,South Africa,7 wickets,Providence,3-Apr-07,ODI # 2562,2007,,
,Bangladesh,New Zealand,New Zealand,9 wickets,North Sound,2-Apr-07,ODI # 2561,2007,,
,West Indies,Sri Lanka,Sri Lanka,113 runs,Providence,1-Apr-07,ODI # 2560,2007,,
,Australia,Bangladesh,Australia,10 wickets,North Sound,31-Mar-07,ODI # 2559,2007,,
,England,Ireland,England,48 runs,Providence,30-Mar-07,ODI # 2558,2007,,
,West Indies,New Zealand,New Zealand,7 wickets,North Sound,29-Mar-07,ODI # 2557,2007,,
,South Africa,Sri Lanka,South Africa,1 wicket,Providence,28-Mar-07,ODI # 2556,2007,,
,West Indies,Australia,Australia,103 runs,North Sound,"Mar 27-28, 2007",ODI # 2555,2007,,
,Bangladesh,Bermuda,Bangladesh,7 wickets,Port of Spain,25-Mar-07,ODI # 2554,2007,,
,Australia,South Africa,Australia,83 runs,Basseterre,24-Mar-07,ODI # 2552,2007,,
,England,Kenya,England,7 wickets,Gros Islet,24-Mar-07,ODI # 2553,2007,,
,West Indies,Ireland,West Indies,8 wickets,Kingston,23-Mar-07,ODI # 2551,2007,,
,India,Sri Lanka,Sri Lanka,69 runs,Port of Spain,23-Mar-07,ODI # 2550,2007,,
,Canada,New Zealand,New Zealand,114 runs,Gros Islet,22-Mar-07,ODI # 2548,2007,,
,Netherlands,Scotland,Netherlands,8 wickets,Basseterre,22-Mar-07,ODI # 2549,2007,,
,Pakistan,Zimbabwe,Pakistan,93 runs,Kingston,21-Mar-07,ODI # 2547,2007,,
,Bangladesh,Sri Lanka,Sri Lanka,198 runs,Port of Spain,21-Mar-07,ODI # 2546,2007,,
,Kenya,New Zealand,New Zealand,148 runs,Gros Islet,20-Mar-07,ODI # 2544,2007,,
,Scotland,South Africa,South Africa,7 wickets,Basseterre,20-Mar-07,ODI # 2545,2007,,
,West Indies,Zimbabwe,West Indies,6 wickets,Kingston,19-Mar-07,ODI # 2543,2007,,
,Bermuda,India,India,257 runs,Port of Spain,19-Mar-07,ODI # 2542,2007,,
,Australia,Netherlands,Australia,229 runs,Basseterre,18-Mar-07,ODI # 2540,2007,,
,Canada,England,England,51 runs,Gros Islet,18-Mar-07,ODI # 2541,2007,,
,Ireland,Pakistan,Ireland,3 wickets,Kingston,17-Mar-07,ODI # 2539,2007,,
,Bangladesh,India,Bangladesh,5 wickets,Port of Spain,17-Mar-07,ODI # 2538,2007,,
,England,New Zealand,New Zealand,6 wickets,Gros Islet,16-Mar-07,ODI # 2536,2007,,
,Netherlands,South Africa,South Africa,221 runs,Basseterre,16-Mar-07,ODI # 2537,2007,,
,Ireland,Zimbabwe,tied,-,Kingston,15-Mar-07,ODI # 2535,2007,,
,Bermuda,Sri Lanka,Sri Lanka,243 runs,Port of Spain,15-Mar-07,ODI # 2534,2007,,
,Australia,Scotland,Australia,203 runs,Basseterre,14-Mar-07,ODI # 2532,2007,,
,Canada,Kenya,Kenya,7 wickets,Gros Islet,14-Mar-07,ODI # 2533,2007,,
,West Indies,Pakistan,West Indies,54 runs,Kingston,13-Mar-07,ODI # 2531,2007,,
,India,Sri Lanka,India,6 wickets,Wankhede,2-Apr-11,ODI # 3148,2011,,
,India,Pakistan,India,29 runs,Mohali,30-Mar-11,ODI # 3147,2011,,
,Sri Lanka,New Zealand,Sri Lanka,5 wickets,Colombo (RPS),29-Mar-11,ODI # 3146,2011,,
,Sri Lanka,England,Sri Lanka,10 wickets,Colombo (RPS),26-Mar-11,ODI # 3145,2011,,
,New Zealand,South Africa,New Zealand,49 runs,Mirpur,25-Mar-11,ODI # 3144,2011,,
,India,Australia,India,5 wickets,Ahmedabad,24-Mar-11,ODI # 3143,2011,,
,Pakistan,West Indies,Pakistan,10 wickets,Mirpur,23-Mar-11,ODI # 3142,2011,,
,India,West Indies,India,80 runs,Chennai,20-Mar-11,ODI # 3141,2011,,
,Kenya,Zimbabwe,Zimbabwe,161 runs,Eden Gardens,20-Mar-11,ODI # 3140,2011,,
,Australia,Pakistan,Pakistan,4 wickets,Colombo (RPS),19-Mar-11,ODI # 3139,2011,,
,Bangladesh,South Africa,South Africa,206 runs,Mirpur,19-Mar-11,ODI # 3138,2011,,
