league,season,start_year,n_teams,champion,mad_from_median,win_pct_sd,noll_scully,mov_sd,gini_wins,top_bottom_gap,upset_rate,prior_titles,career_win_pct,has_won_before,top3_pedigree,dynasty,top_career,tightness_index
NBA,2005-2006,2005,30,Miami Heat,0.10579999999999995,0.13632491613282105,2.468949239013955,3.720511644458558,0.15127371273712736,0.524,0.3423044575273339,0,0.4842027920646583,0,0,0,0,3.3515113027460304
NBA,2006-2007,2006,30,San Antonio Spurs,0.10410000000000001,0.13228091408016898,2.3957092468415895,3.7823436753104445,0.1461788617886179,0.5489999999999999,0.34382978723404256,3,0.5950452596474511,1,1,1,1,3.575326606717717
NBA,2007-2008,2007,30,Boston Celtics,0.14076666666666665,0.16875394929393162,3.056264008876527,5.321512283975839,0.18953929539295392,0.6220000000000001,0.30198019801980197,3,0.5543328748280605,1,0,1,1,-2.4915200448182477
NBA,2008-2009,2008,30,Los Angeles Lakers,0.14309999999999998,0.1721281299016761,3.1173730187340496,4.601210435446782,0.19414634146341464,0.5980000000000001,0.3059019118869493,7,0.6539991162174105,1,1,1,1,-2.090599917823039
NBA,2009-2010,2009,30,Los Angeles Lakers,0.13583333333333333,0.16295810405794772,2.951296787250781,4.549275602307155,0.1807588075880759,0.598,0.3007582139848357,8,0.6588486140724946,1,1,1,1,-0.9619006222825303
NBA,2010-2011,2010,30,Dallas Mavericks,0.13166666666666668,0.16066242184500842,2.909720214064907,4.549489500223478,0.18119241192411925,0.549,0.3115161557580779,0,0.4971169686985173,0,0,0,0,-0.46227917314915307
NBA,2011-2012,2011,30,Miami Heat,0.1253,0.15613220525324487,2.5368480633557318,4.747847376721758,0.17225589225589225,0.652,0.30505050505050507,1,0.4954128440366973,1,0,0,0,-0.07941896223674957
NBA,2012-2013,2012,30,Miami Heat,0.12976666666666667,0.1552007265358039,2.8108047050008964,4.504088066450836,0.1749118524545701,0.561,0.3142857142857143,2,0.5023449713392392,1,0,0,0,0.04237276453688679
NBA,2013-2014,2013,30,San Antonio Spurs,0.13263333333333333,0.1575606031917907,2.853543888997817,4.780650282800111,0.1770731707317073,0.573,0.32293423271500843,4,0.6157320286036884,1,1,1,1,-0.5477210694637286
NBA,2014-2015,2014,30,Golden State Warriors,0.13343333333333335,0.16414238632512246,2.972745051333849,4.785939127625145,0.18341463414634146,0.6219999999999999,0.2975609756097561,0,0.4238773274917853,0,0,0,0,-1.3617966612713097
NBA,2015-2016,2015,30,Cleveland Cavaliers,0.12603333333333333,0.169324896839346,3.0666043087113306,4.9170677295997525,0.18460704607046072,0.768,0.3008130081300813,0,0.4712969525159461,0,0,0,0,-2.328365657950395
NBA,2016-2017,2016,30,Golden State Warriors,0.10729999999999998,0.13644816707765103,2.4711814085621047,4.19156459965768,0.15170731707317073,0.573,0.35121951219512193,1,0.4481570788839132,1,0,0,0,2.6044659919682784
NBA,2017-2018,2017,30,Golden State Warriors,0.12113333333333336,0.14908039950725038,2.699960868171088,4.281013804626458,0.165420054200542,0.537,0.3227642276422764,2,0.45829145728643217,1,0,0,0,1.2228996200278346
NBA,2018-2019,2018,30,Toronto Raptors,0.1195,0.14670695240873033,2.6569759130069,4.705651725416953,0.16308943089430894,0.525,0.33414634146341465,0,0.4571272528672856,0,0,0,0,1.141482348057167
NBA,2019-2020,2019,30,Los Angeles Lakers,0.1308,0.1544284084400708,2.620736995579678,4.8148491102030375,0.18939250865596474,0.536,0.32200188857412654,9,0.6059066370276278,1,1,1,1,-0.21963656545761306
NBA,2020-2021,2020,30,Milwaukee Bucks,0.11569999999999998,0.13902256907654842,2.3592912319680623,4.751750312725066,0.15611111111111112,0.486,0.3333333333333333,0,0.5017064846416383,0,0,0,0,2.2550502039099154
NBA,2021-2022,2021,30,Golden State Warriors,0.11466666666666667,0.1410270048322449,2.5541076872678885,4.673323769810012,0.1570189701897019,0.536,0.33902439024390246,3,0.46774193548387094,1,0,1,0,1.736992598922544
NBA,2022-2023,2022,30,Denver Nuggets,0.09030000000000002,0.12231234277619858,2.2151707419727162,3.86942390793647,0.13279132791327913,0.5,0.359349593495935,0,0.49422564406277764,0,0,0,0,5.07797836769822
NCAAF,1975,1975,137,Oklahoma,0.2003065693430657,0.23875543982751593,1.5837244211282926,10.749407215025977,0.2913284671532847,0.909,,1,0.8928571428571429,1,1,0,1,-1.987884891061568
NCAAF,1976,1976,137,Pitt,0.1858905109489051,0.22523552674370434,1.4940434633338529,11.08442060662751,0.2680735858262142,1.0,,0,0.45454545454545453,0,0,0,0,-0.23204434153967593
NCAAF,1977,1977,145,Notre Dame,0.19559310344827588,0.2335217695595799,1.5490081800179274,11.021294686256361,0.2751834414895873,0.8260000000000001,,1,0.8205128205128205,1,1,0,1,-0.8243461648193782
NCAAF,1978,1978,138,Alabama,0.18792028985507248,0.22051781537390872,1.4627497063682415,11.354834711547456,0.27307895531400966,0.923,,0,0.8421052631578947,0,0,0,1,0.03630085818398663
NCAAF,1979,1979,140,Alabama,0.1896142857142857,0.23491506807489615,1.5582502768104538,11.336013770344444,0.28647102251753415,1.0,,1,0.8504672897196262,1,0,0,1,-1.732947949892826
NCAAF,1980,1980,138,Georgia,0.18716666666666668,0.2251971137240001,1.4937886601870058,11.508297982923803,0.2740065451145395,1.0,,0,0.6637168141592921,0,0,0,1,-0.6770361734340985
NCAAF,1981,1981,137,Clemson,0.1842189781021898,0.22696744838795105,1.5055317318543764,10.96420464420627,0.2750349636952315,1.0,,0,0.512396694214876,0,0,0,0,-0.37954125414486856
NCAAF,1982,1982,113,Penn State,0.1885575221238938,0.2321018092173609,1.539589228673277,11.229290313787752,0.2804841066357897,0.958,,0,0.8169014084507042,0,0,0,1,-1.1081323866615136
NCAAF,1983,1983,112,Miami (FL),0.1944107142857143,0.23163095217424637,1.536465916389463,10.46339143337219,0.28244505494505495,0.884,,0,0.46853146853146854,0,0,0,0,-0.6906068778610925
NCAAF,1984,1984,110,BYU,0.17997272727272728,0.21771516558975204,1.444159030862605,9.584533769202208,0.2661432070306872,1.0,,0,0.6890243902439024,0,0,0,1,1.535526205890127
NCAAF,1985,1985,110,Oklahoma,0.1819181818181818,0.2204106375025267,1.4620387687978353,10.712334440539637,0.26672929614106083,0.867,,2,0.8323699421965318,1,1,0,1,1.0651632376698834
NCAAF,1986,1986,105,Penn State,0.1708761904761905,0.21323573345473318,1.4144458395311688,10.454376826725008,0.25708020050125313,0.909,,1,0.8042328042328042,1,0,0,1,2.3715537097459714
NCAAF,1987,1987,104,Miami (FL),0.17585576923076923,0.21979699180476223,1.457968303730434,10.36894458781596,0.2716786125687956,1.0,,1,0.5572916666666666,1,0,0,0,0.9945572212837214
NCAAF,1988,1988,105,Notre Dame,0.20041904761904764,0.24055946124732736,1.59569094545485,10.757761103317174,0.2931096092596908,1.0,,2,0.7044334975369458,1,1,0,1,-2.513955915281699
NCAAF,1989,1989,106,Miami (FL),0.19967924528301884,0.2424266278715439,1.6080763276820516,11.408646759782158,0.2990128701736849,0.923,,2,0.6018518518518519,1,1,0,1,-2.85063509785718
NCAAF,1990,1990,107,Colorado,0.18626168224299064,0.222806138567882,1.4779287252351956,10.990417176136642,0.2688574012662044,0.875,,0,0.5176991150442478,0,0,0,0,0.43141418380713364
NCAAF,1991,1991,107,Miami (FL),0.20546728971962613,0.24357141500827678,1.615669986476788,10.654865927929917,0.30138659825300834,0.955,,3,0.6291666666666667,1,1,1,1,-2.961074204216319
NCAAF,1992,1992,107,Alabama,0.1767757009345794,0.21951384945035105,1.4560901498267547,9.669202159995532,0.27020340846619023,0.909,,2,0.789272030651341,1,0,0,1,1.7451671654142822
NCAAF,1993,1993,106,Florida State,0.18317924528301888,0.2244251398489626,1.4886679648040937,10.86426617759883,0.27444533218609796,1.0,,0,0.6729323308270677,0,0,0,1,-0.06440334132456711
NCAAF,1994,1994,107,Nebraska,0.1893738317757009,0.2317252513979127,1.537091426675309,11.209011334226266,0.28564894573950694,1.0,,2,0.8298611111111112,1,0,0,1,-1.3864844028452943
NCAAF,1995,1995,108,Nebraska,0.1944537037037037,0.23136212510968973,1.534682719376209,10.90566299926071,0.28415835707502374,0.909,,3,0.8372093023255814,1,1,1,1,-1.0600032445697398
NCAAF,1996,1996,111,Florida,0.18461261261261258,0.22672540658649173,1.5039262081763318,11.031876016892523,0.2765972078949178,0.933,,0,0.6521739130434783,0,0,0,1,-0.20907459701984674
NCAAF,1997,1997,112,Michigan,0.19458035714285712,0.23584713937195773,1.5644329383508802,10.86830572338557,0.2863636363636364,1.0,,0,0.7891373801916933,0,0,0,1,-1.7740681902563828
NCAAF,1998,1998,112,Tennessee,0.2048482142857143,0.24254767854473244,1.6088792870092243,10.633867443608501,0.2958190761334474,1.0,,0,0.7058823529411765,0,0,0,1,-2.874184905125188
NCAAF,1999,1999,113,Florida State,0.174070796460177,0.21518659103981722,1.4273863647894538,10.004314529892666,0.2622807482380372,1.0,,1,0.7197640117994101,1,0,0,1,1.8659565587394633
NCAAF,2000,2000,116,Oklahoma,0.1972155172413793,0.23555065011715567,1.631942775035174,10.63805788594458,0.2839306329368067,1.0,,3,0.7383720930232558,1,1,1,1,-1.9719259961065196
NCAAF,2001,2001,117,Miami (FL),0.18805128205128205,0.2300427989754254,1.5937832629631616,10.633130315920855,0.28028335588963266,1.0,,4,0.6796657381615598,1,1,1,1,-1.010845024822272
NCAAF,2002,2002,117,Ohio State,0.1825641025641025,0.22069373813871532,1.5914451780659213,10.452258472528314,0.2658522396742292,0.917,,0,0.75,0,0,0,1,0.4792201962180791
NCAAF,2003,2003,117,USC,0.19531623931623932,0.23258975177743574,1.6114290695934088,10.139741239400744,0.27808663813920054,0.929,,1,0.6832460732984293,1,0,0,1,-0.9624036495433507
NCAAF,2004,2004,120,USC,0.17836666666666667,0.2193875068258457,1.5199612334729145,10.64943940575572,0.2669925512104283,1.0,,2,0.6911392405063291,1,0,0,1,0.5909649073434472
NCAAF,2005,2005,119,Texas,0.17177310924369746,0.21540793851286594,1.492389975431826,10.540012399768171,0.25914276325055163,1.0,,0,0.7,0,0,0,1,1.4697027995414849
NCAAF,2006,2006,119,Florida,0.18715966386554617,0.22841886719773336,1.6471518759296542,9.72041596027032,0.27162661242841085,1.0,,1,0.6792452830188679,1,0,0,1,-0.3730804471160731
NCAAF,2007,2007,120,LSU,0.1749583333333333,0.2111089923538575,1.5223285932867368,9.673101620006914,0.2523130544993663,0.8400000000000001,,0,0.6276346604215457,0,0,0,1,2.6561592840400587
NCAAF,2008,2008,120,Florida,0.17398333333333332,0.21335003720494203,1.5384889975291365,9.607833477879154,0.25218204488778057,1.0,,2,0.6873614190687362,1,0,0,1,1.977762620452598
NCAAF,2009,2009,120,Alabama,0.1792333333333333,0.2219931485050682,1.600815359473431,9.83766534746916,0.26117683686176835,1.0,,3,0.7288135593220338,1,0,1,1,0.6984144287935274
NCAAF,2010,2010,120,Auburn,0.18185833333333334,0.22333269435294684,1.6104749619541534,10.296296122273048,0.26338951310861425,0.923,,0,0.6774193548387096,0,0,0,1,0.43360531552908627
NCAAF,2011,2011,120,Alabama,0.180525,0.22162157525621826,1.5981359066707923,9.90926380053672,0.2597808105872622,0.8460000000000001,,4,0.7374749498997996,1,1,1,1,1.2258736447713061
NCAAF,2012,2012,124,Alabama,0.19766935483870962,0.2378027316808192,1.7148198850411969,9.951544337292022,0.2753983676642052,1.0,,5,0.7421875,1,1,1,1,-1.842312388598009
NCAAF,2013,2013,125,Florida State,0.196792,0.24252284894018647,1.7488571346508994,11.041243823106631,0.2854615384615385,1.0,,2,0.7140115163147792,1,0,0,1,-3.0362963683946598
NCAAF,2014,2014,128,Ohio State,0.17200781249999997,0.21216961100997014,1.5299768231833926,10.036677824212912,0.2537609011627907,0.8500000000000001,,1,0.7741935483870968,1,0,0,1,2.4362401100546593
NCAAF,2015,2015,128,Alabama,0.19098437499999998,0.22872531922273778,1.6493617329089005,10.141498670097558,0.2707698170731707,0.933,,6,0.7522603978300181,1,1,1,1,-0.5574000821924339
NCAAF,2016,2016,128,Clemson,0.17683593749999998,0.20569155831704347,1.4832629208843833,9.276238965787465,0.2471846031286211,0.8500000000000001,,1,0.6477064220183486,1,0,0,1,3.302514677111605
NCAAF,2017,2017,130,Alabama,0.17195384615384615,0.21710275274041485,1.5655502140998916,10.593813692198898,0.25960871498443755,1.0,,7,0.7615780445969125,1,1,1,1,1.038327568068255
NCAAF,2018,2018,130,Clemson,0.17226153846153844,0.2170922691149577,1.5654746156016146,9.847863637511301,0.2565476712569073,0.917,,2,0.6602787456445993,1,0,0,1,1.8330616222141762
NCAAF,2019,2019,130,LSU,0.17675384615384618,0.21701962022708052,1.5649507370209215,10.152382686046444,0.25989569752281616,1.0,,1,0.660377358490566,1,0,0,1,1.057977655623884
NCAAF,2020,2020,130,Alabama,0.20595312500000001,0.2504766199778171,1.5028597198669027,10.652110602095789,0.37074756229685807,1.0,,8,0.7712,1,1,1,1,-4.68838046919319
NCAAF,2021,2021,130,Georgia,0.1803076923076923,0.22065293469821828,1.5911509402720665,9.28835828434531,0.2652923076923077,0.8500000000000001,,1,0.7140549273021002,1,0,0,1,1.5225634467553066
NCAAF,2022,2022,131,Georgia,0.16406870229007636,0.2005708570612642,1.4463370189962932,9.290350352760683,0.24064713568530363,0.917,,2,0.7192429022082019,1,0,0,1,4.225803558720655
NCAAF,2023,2023,133,Michigan,0.17399248120300753,0.20866937173089056,1.5047362387891634,9.381887440719504,0.252385931716709,0.917,,1,0.7409733124018838,1,0,0,1,2.775237387905048
