season,start_year,team,bt,mov,win_pct,conf_rank,league_rank,strength_gap_to_best,league_strength_sd,prior_titles,prior_top4,career_win_pct,won_title,title_prob
1993-1994,1993,Phoenix Suns,0.8176912913843765,0.6686339166219112,0.683,3.0,3.0,0.40184227962940866,0.7777706176679372,0,7,0.5703564727954972,0,0.0656
1993-1994,1993,Portland Trail Blazers,0.34930087856718467,0.3714632870121729,0.573,7.0,11.0,0.8702326924466004,0.7777706176679372,0,3,0.5947467166979362,0,0.0031
1993-1994,1993,San Antonio Spurs,0.7534743757875897,0.7214959997736434,0.671,4.0,6.0,0.46605919522619543,0.7777706176679372,0,0,0.5187617260787992,0,0.03425
1993-1994,1993,Seattle SuperSonics,1.2195335710137851,1.2401158966406387,0.768,1.0,1.0,0.0,0.7777706176679372,0,1,0.5178236397748592,0,0.404
1993-1994,1993,Utah Jazz,0.6577816131147151,0.5857690295191956,0.646,5.0,8.0,0.5617519578990701,0.7777706176679372,0,1,0.5290806754221389,0,0.01505
1994-1995,1994,Atlanta Hawks,0.008983854328854525,0.150014019754916,0.512,7.0,15.0,1.1504960581613195,0.6883019440639742,0,3,0.5409407665505227,0,0.00095
1994-1995,1994,Boston Celtics,-0.3320629436676798,-0.2743113504089892,0.427,8.0,18.0,1.4915428561578539,0.6883019440639742,3,8,0.6707317073170732,0,5e-05
1994-1995,1994,Charlotte Hornets,0.3955594967827675,0.40860961571339016,0.61,4.0,9.0,0.7639204157074065,0.6883019440639742,0,0,0.3678861788617886,0,0.0153
1994-1995,1994,Chicago Bulls,0.24002435904089867,0.6157718334701788,0.573,5.0,11.0,0.9194555534492753,0.6883019440639742,3,3,0.5522648083623694,0,0.0048
1994-1995,1994,Cleveland Cavaliers,0.0696093025812769,0.07857877225257504,0.524,6.0,13.0,1.089870609908897,0.6883019440639742,0,2,0.4547038327526132,0,0.00115
1994-1995,1994,Denver Nuggets,0.05108857774584174,0.13572697025444777,0.5,8.0,14.0,1.1083913347443324,0.6883019440639742,0,0,0.4921602787456446,0,0.0002
1994-1995,1994,Houston Rockets,0.3703716221626139,0.33145954841086195,0.573,6.0,10.0,0.7891082903275601,0.6883019440639742,1,0,0.5304878048780488,1,0.00225
1994-1995,1994,Indiana Pacers,0.5032053213860209,0.4786161582656843,0.634,3.0,7.0,0.6562745911041531,0.6883019440639742,0,0,0.42770034843205573,0,0.0297
1994-1995,1994,Los Angeles Lakers,0.39611872201345516,-0.0014287049500468188,0.585,5.0,8.0,0.7633611904767188,0.6883019440639742,4,9,0.6681184668989547,0,0.0033
1994-1995,1994,New York Knicks,0.6515993642345189,0.3971799761130156,0.671,2.0,6.0,0.5078805482556551,0.6883019440639742,0,2,0.5113240418118467,0,0.0729
1994-1995,1994,Orlando Magic,0.7507974426837131,0.9200859878301514,0.695,1.0,5.0,0.40868246980646095,0.6883019440639742,0,0,0.3926829268292683,0,0.1385
1994-1995,1994,Phoenix Suns,0.9722587226085854,0.5500514057680252,0.72,3.0,3.0,0.18722118988158865,0.6883019440639742,0,7,0.578397212543554,0,0.1299
1994-1995,1994,Portland Trail Blazers,0.19853695314408448,0.5414791760677443,0.537,7.0,12.0,0.9609429593460895,0.6883019440639742,0,3,0.5932055749128919,0,0.0007
1994-1995,1994,San Antonio Spurs,1.159479912490174,0.8429359205276231,0.756,1.0,1.0,0.0,0.6883019440639742,0,1,0.5296167247386759,0,0.33605
1994-1995,1994,Seattle SuperSonics,0.8617414921486961,1.1301056154870337,0.695,4.0,4.0,0.2977384203414779,0.6883019440639742,0,2,0.5357142857142857,0,0.06925
1994-1995,1994,Utah Jazz,1.0367543660595102,1.1072463362862845,0.732,2.0,2.0,0.1227255464306638,0.6883019440639742,0,1,0.5374564459930313,0,0.195
1995-1996,1995,Atlanta Hawks,0.26076634893402073,0.1828742336059928,0.561,6.5,11.0,1.5940658507442005,0.7606211123211168,0,3,0.5390243902439025,0,0.0001
1995-1996,1995,Chicago Bulls,1.854832199678221,1.6858718410552462,0.878,1.0,1.0,0.0,0.7606211123211168,3,3,0.5536585365853659,1,0.7619
1995-1996,1995,Cleveland Cavaliers,0.29666420022200224,0.3557475325616579,0.573,4.5,10.0,1.5581679994562188,0.7606211123211168,0,2,0.45934959349593496,0,0.0005
1995-1996,1995,Detroit Pistons,0.25813463983539214,0.35003271276147063,0.561,6.5,12.0,1.596697559842829,0.7606211123211168,2,4,0.5300813008130081,0,0.00025
1995-1996,1995,Houston Rockets,0.3387815005102985,0.23287890685763146,0.585,5.0,8.0,1.5160506991679226,0.7606211123211168,2,0,0.5333333333333333,0,0.0006
1995-1996,1995,Indiana Pacers,0.561548666869924,0.44289853451451383,0.634,3.0,7.0,1.2932835328082972,0.7606211123211168,0,0,0.44146341463414634,0,0.00215
1995-1996,1995,Los Angeles Lakers,0.5976918780068301,0.6014847839697107,0.646,4.0,6.0,1.257140321671391,0.7606211123211168,4,9,0.6626016260162602,0,0.0034
1995-1996,1995,Miami Heat,0.058683718605351834,0.20716221775678872,0.512,8.0,14.0,1.7961484810728692,0.7606211123211168,0,0,0.35714285714285715,0,0.0
1995-1996,1995,New York Knicks,0.29911007820213553,0.32002990881048743,0.573,4.5,9.0,1.5557221214760855,0.7606211123211168,0,2,0.5219512195121951,0,0.00035
1995-1996,1995,Orlando Magic,1.0120825243303786,0.7700719680752353,0.732,2.0,3.0,0.8427496753478425,0.7606211123211168,0,1,0.44308943089430897,0,0.04215
1995-1996,1995,Phoenix Suns,-0.011607583113128346,0.04000373860131093,0.5,7.0,16.0,1.8664397827913495,0.7606211123211168,0,7,0.5878048780487805,0,0.0
1995-1996,1995,Portland Trail Blazers,0.13766540679232758,0.31574379396034696,0.537,6.0,13.0,1.7171667928858936,0.7606211123211168,0,3,0.5894308943089431,0,0.00015
